After
Name,Stmts,Miss,Cover
xl/__init__.py,0,0,100%
xl/collection.py,442,344,22%
xl/common.py,553,291,47%
xl/covers.py,335,335,0%
xl/devices.py,89,89,0%
xl/dynamic.py,115,90,22%
xl/event.py,183,33,82%
xl/externals/__init__.py,0,0,100%
xl/externals/gi_composites.py,97,97,0%
xl/externals/sigint.py,29,17,41%
xl/formatter.py,314,314,0%
xl/hal.py,214,214,0%
xl/logger_setup.py,103,82,20%
xl/lyrics.py,148,148,0%
xl/main.py,374,348,7%
xl/metadata/__init__.py,33,1,97%
xl/metadata/_apev2.py,7,0,100%
xl/metadata/_base.py,181,34,81%
xl/metadata/_id3.py,93,40,57%
xl/metadata/_matroska.py,197,160,19%
xl/metadata/aac.py,7,0,100%
xl/metadata/aiff.py,4,0,100%
xl/metadata/ape.py,4,0,100%
xl/metadata/asf.py,17,1,94%
xl/metadata/flac.py,60,15,75%
xl/metadata/mka.py,27,20,26%
xl/metadata/mod.py,34,16,53%
xl/metadata/mp3.py,4,0,100%
xl/metadata/mp4.py,55,15,73%
xl/metadata/mpc.py,4,0,100%
xl/metadata/ogg.py,55,13,76%
xl/metadata/sid.py,16,10,38%
xl/metadata/speex.py,5,0,100%
xl/metadata/tags.py,22,1,95%
xl/metadata/tta.py,4,0,100%
xl/metadata/wav.py,21,2,90%
xl/metadata/wv.py,6,0,100%
xl/migrations/__init__.py,0,0,100%
xl/migrations/database/__init__.py,6,4,33%
xl/migrations/database/covers_1to2.py,42,42,0%
xl/migrations/database/from1to2.py,23,23,0%
xl/migrations/database/to_bsddb.py,34,8,76%
xl/migrations/settings/__init__.py,0,0,100%
xl/migrations/settings/engine.py,5,5,0%
xl/migrations/settings/flac_tempo.py,8,8,0%
xl/migrations/settings/osd.py,6,6,0%
xl/migrations/settings/rating.py,8,8,0%
xl/nls.py,52,25,52%
xl/player/__init__.py,8,0,100%
xl/player/adapters.py,53,53,0%
xl/player/engine.py,29,12,59%
xl/player/gst/__init__.py,8,0,100%
xl/player/gst/dynamic_sink.py,59,41,31%
xl/player/gst/engine.py,350,224,36%
xl/player/gst/gst_utils.py,148,112,24%
xl/player/gst/missing_plugin.py,63,48,24%
xl/player/gst/sink.py,98,73,26%
xl/player/gst/sink_windows.py,29,29,0%
xl/player/player.py,223,147,34%
xl/player/queue.py,185,136,26%
xl/player/track_fader.py,180,41,77%
xl/playlist.py,1053,809,23%
xl/plugins.py,186,186,0%
xl/providers.py,98,49,50%
xl/radio.py,65,65,0%
xl/settings.py,162,69,57%
xl/shelve_compat.py,8,0,100%
xl/transcoder.py,95,95,0%
xl/trax/__init__.py,5,0,100%
xl/trax/search.py,312,58,81%
xl/trax/track.py,546,85,84%
xl/trax/trackdb.py,178,120,33%
xl/trax/util.py,61,23,62%
xl/unicode.py,25,1,96%
xl/version.py,32,4,88%
xl/xdg.py,89,26,71%
xl/xldbus.py,275,275,0%

TOTAL,8659,5640,35%

Before

Name,Stmts,Miss,Cover

xl/__init__.py,0,0,100%
xl/collection.py,442,344,22%
xl/common.py,553,344,38%
xl/covers.py,335,335,0%
xl/devices.py,89,89,0%
xl/dynamic.py,115,90,22%
xl/event.py,183,33,82%
xl/externals/__init__.py,0,0,100%
xl/externals/gi_composites.py,97,97,0%
xl/externals/sigint.py,29,17,41%
xl/formatter.py,314,314,0%
xl/hal.py,214,214,0%
xl/logger_setup.py,103,82,20%
xl/lyrics.py,148,148,0%
xl/main.py,374,348,7%
xl/metadata/__init__.py,33,1,97%
xl/metadata/_apev2.py,7,0,100%
xl/metadata/_base.py,181,34,81%
xl/metadata/_id3.py,93,40,57%
xl/metadata/_matroska.py,197,160,19%
xl/metadata/aac.py,7,0,100%
xl/metadata/aiff.py,4,0,100%
xl/metadata/ape.py,4,0,100%
xl/metadata/asf.py,17,1,94%
xl/metadata/flac.py,60,15,75%
xl/metadata/mka.py,27,20,26%
xl/metadata/mod.py,34,16,53%
xl/metadata/mp3.py,4,0,100%
xl/metadata/mp4.py,55,15,73%
xl/metadata/mpc.py,4,0,100%
xl/metadata/ogg.py,55,13,76%
xl/metadata/sid.py,16,10,38%
xl/metadata/speex.py,5,0,100%
xl/metadata/tags.py,22,1,95%
xl/metadata/tta.py,4,0,100%
xl/metadata/wav.py,21,2,90%
xl/metadata/wv.py,6,0,100%
xl/migrations/__init__.py,0,0,100%
xl/migrations/database/__init__.py,6,4,33%
xl/migrations/database/covers_1to2.py,42,42,0%
xl/migrations/database/from1to2.py,23,23,0%
xl/migrations/database/to_bsddb.py,34,8,76%
xl/migrations/settings/__init__.py,0,0,100%
xl/migrations/settings/engine.py,5,5,0%
xl/migrations/settings/flac_tempo.py,8,8,0%
xl/migrations/settings/osd.py,6,6,0%
